Concordance,Frequency,Pmil,Verb,Count
relate to COVID-19,6693,0.10824,relate,1
have COVID-19,6000,0.09703,have,1
contract COVID-19,5578,0.09021,contract,1
test for COVID-19,4330,0.07003,test,1
fight COVID-19,4181,0.06762,fight,1
treat COVID-19,4177,0.06755,treat,1
die from COVID-19,4137,0.06691,die,1
confirm COVID-19,4081,0.066,confirm,1
die of COVID-19,3671,0.05937000000000001,die,1
confirm coronavirus,3644,0.05893,confirm,1
recover from COVID-19,3382,0.05469,recover,1
fight the coronavirus,3278,0.05301,fight,1
have coronavirus,3244,0.05246,have,1
cause by COVID-19,3177,0.05138,cause,1
affect by COVID-19,3159,0.05109,affect,1
infect with COVID-19,2975,0.04811,infect,1
impact by COVID-19,2894,0.0468,impact,1
be COVID-19,2613,0.04226,be,1
combat COVID-19,2572,0.0416,combat,1
diagnose with COVID-19,2558,0.04137,diagnose,1
cause COVID-19,2547,0.04119,cause,1
contract the coronavirus,2490,0.04027,contract,1
die from coronavirus,2240,0.03623,die,1
say the coronavirus,2107,0.03408,say,1
combat the coronavirus,2103,0.034010000000000006,combat,1
die of coronavirus,1973,0.03191,die,1
test for coronavirus,1917,0.031,test,1
contain the coronavirus,1886,0.0305,contain,1
treat coronavirus,1803,0.02916,treat,1
fight coronavirus,1771,0.02864,fight,1
contract coronavirus,1764,0.02853,contract,1
follow the coronavirus,1734,0.02804,follow,1
say COVID-19,1719,0.0278,say,1
infect with coronavirus,1644,0.02659,infect,1
have the coronavirus,1623,0.02625,have,1
associate with COVID-19,1529,0.02473,associate,1
fight the COVID-19,1433,0.02317,fight,1
prevent COVID-19,1402,0.02267,prevent,1
get COVID-19,1402,0.02267,get,1
respond to COVID-19,1401,0.02266,respond,1
spread COVID-19,1400,0.02264,spread,1
deal with COVID-19,1358,0.02196,deal,1
ease coronavirus,1333,0.02156,ease,1
recover from coronavirus,1276,0.02064,recover,1
contain COVID-19,1261,0.02039,contain,1
battle COVID-19,1249,0.0202,battle,1
battle the coronavirus,1243,0.0201,battle,1
say the COVID-19,1236,0.01999,say,1
expose to COVID-19,1223,0.01978,expose,1
regard COVID-19,1210,0.01957,regard,1
spread the coronavirus,1189,0.01923,spread,1
follow the COVID-19,1115,0.01803,follow,1
spread coronavirus,1112,0.01798,spread,1
have contract COVID-19,1103,0.01784,have contract,2
tackle the coronavirus,1040,0.016819999999999998,tackle,1
relate to coronavirus,1036,0.01675,relate,1
link to COVID-19,952,0.0154,link,1
catch COVID-19,952,0.0154,catch,1
catch coronavirus,950,0.01536,catch,1
combat the COVID-19,932,0.015069999999999997,combat,1
hospitalize with COVID-19,922,0.01491,hospitalize,1
cause by coronavirus,919,0.01486,cause,1
be coronavirus,912,0.01475,be,1
combat coronavirus,908,0.01468,combat,1
include COVID-19,903,0.0146,include,1
use the coronavirus,893,0.01444,use,1
get coronavirus,872,0.0141,get,1
diagnose with coronavirus,855,0.01383,diagnose,1
say coronavirus,834,0.01349,say,1
handle the coronavirus,833,0.01347,handle,1
affect by coronavirus,829,0.01341,affect,1
address COVID-19,783,0.01266,address,1
hit by COVID-19,780,0.01261,hit,1
test COVID-19,770,0.01245,test,1
contain the COVID-19,760,0.01229,contain,1
pose by COVID-19,750,0.01213,pose,1
report [number] COVID-19,744,0.01203,report,1
be the coronavirus,731,0.01182,be,1
surround COVID-19,716,0.01158,surround,1
catch the coronavirus,715,0.01156,catch,1
follow COVID-19,705,0.0114,follow,1
prevent coronavirus,704,0.01139,prevent,1
battle coronavirus,700,0.01132,battle,1
report COVID-19,696,0.01126,report,1
tackle COVID-19,693,0.01121,tackle,1
address the COVID-19,690,0.01116,address,1
develop COVID-19,686,0.01109,develop,1
report [number] coronavirus,659,0.01066,report,1
recover COVID-19,657,0.01063,recover,1
be [number] COVID-19,637,0.0103,be,1
use COVID-19,629,0.01017,use,1
survive the coronavirus,626,0.01012,survive,1
report coronavirus,624,0.01009,report,1
ease COVID-19,614,0.00993,ease,1
provide COVID-19,595,0.00962,provide,1
survive COVID-19,591,0.00956,survive,1
surround the coronavirus,590,0.00954,surround,1
deal with coronavirus,583,0.00943,deal,1
attribute to COVID-19,580,0.00938,attribute,1
link to coronavirus,563,0.00911,link,1
support COVID-19,558,0.00902,support,1
manage COVID-19,555,0.00898,manage,1
be a COVID-19,548,0.00886,be,1
regard the coronavirus,547,0.00885,regard,1
have [number] COVID-19,546,0.00883,have,1
contain coronavirus,540,0.00873,contain,1
succumb to COVID-19,533,0.008620000000000001,succumb,1
control the coronavirus,510,0.00825,control,1
detect COVID-19,508,0.00822,detect,1
get the coronavirus,504,0.00815,get,1
create by COVID-19,498,0.00805,create,1
address the coronavirus,498,0.00805,address,1
have have COVID-19,495,0.00801,have have,2
say that COVID-19,491,0.007940000000000001,say,1
have contract coronavirus,486,0.007859999999999999,have contract,2
tackle the COVID-19,482,0.0078,tackle,1
handle the COVID-19,482,0.0078,handle,1
battle the COVID-19,482,0.0078,battle,1
curb the coronavirus,480,0.007759999999999999,curb,1
result from COVID-19,478,0.00773,result,1
suffer from COVID-19,474,0.0076700000000000015,suffer,1
handle COVID-19,474,0.0076700000000000015,handle,1
develop a COVID-19,474,0.0076700000000000015,develop,1
lift coronavirus,470,0.0076,lift,1
tackle coronavirus,468,0.00757,tackle,1
hospitalize COVID-19,467,0.00755,hospitalize,1
use the COVID-19,456,0.0073700000000000015,use,1
keep COVID-19,456,0.0073700000000000015,keep,1
make COVID-19,452,0.00731,make,1
take COVID-19,447,0.007229999999999999,take,1
record [number] coronavirus,443,0.00716,record,1
be a coronavirus,442,0.00715,be,1
show COVID-19,441,0.00713,show,1
