Concordance,Frequency,Pmil,Verb,Count
confirm coronavirus,372,0.00602,confirm,1
spread coronavirus,371,0.006,spread,1
have coronavirus,322,0.00521,have,1
test for coronavirus,276,0.00446,test,1
infect with coronavirus,243,0.0039299999999999995,infect,1
contain the coronavirus,242,0.00391,contain,1
have the coronavirus,232,0.00375,have,1
contract the coronavirus,219,0.0035399999999999997,contract,1
say the coronavirus,202,0.0032700000000000003,say,1
declare the coronavirus,195,0.00315,declare,1
treat coronavirus,153,0.00247,treat,1
be a coronavirus,151,0.00244,be,1
diagnose with coronavirus,141,0.00228,diagnose,1
regard the coronavirus,130,0.0021,regard,1
be the coronavirus,125,0.00202,be,1
contract coronavirus,123,0.00199,contract,1
prevent coronavirus,122,0.00197,prevent,1
be coronavirus,117,0.0018899999999999998,be,1
declare coronavirus,112,0.0018100000000000002,declare,1
follow the coronavirus,104,0.00168,follow,1
surround the coronavirus,102,0.00165,surround,1
identify coronavirus,98,0.00158,identify,1
screen for coronavirus,92,0.00149,screen,1
say coronavirus,83,0.00134,say,1
grow coronavirus,75,0.00121,grow,1
monitor the coronavirus,73,0.00118,monitor,1
fight the coronavirus,73,0.00118,fight,1
contain coronavirus,70,0.0011300000000000001,contain,1
prevent the coronavirus,66,0.00107,prevent,1
affect by coronavirus,66,0.00107,affect,1
have contract coronavirus,64,0.0010400000000000001,have contract,2
combat the coronavirus,64,0.0010400000000000001,combat,1
fight coronavirus,60,0.0009699999999999999,fight,1
relate to coronavirus,58,0.0009400000000000001,relate,1
deal with coronavirus,58,0.0009400000000000001,deal,1
regard coronavirus,51,0.00082,regard,1
discover coronavirus,50,0.00081,discover,1
tackle coronavirus,49,0.00079,tackle,1
develop coronavirus,48,0.00078,develop,1
carry the coronavirus,48,0.00078,carry,1
catch the coronavirus,47,0.0007599999999999999,catch,1
emerge coronavirus,46,0.00074,emerge,1
die from coronavirus,46,0.00074,die,1
address the coronavirus,46,0.00074,address,1
spread the coronavirus,45,0.00073,spread,1
monitor coronavirus,45,0.00073,monitor,1
get coronavirus,44,0.0007099999999999999,get,1
believe the coronavirus,44,0.0007099999999999999,believe,1
detect coronavirus,43,0.0007,detect,1
worsen coronavirus,42,0.0006799999999999999,worsen,1
prepare for coronavirus,42,0.0006799999999999999,prepare,1
cause by coronavirus,42,0.0006799999999999999,cause,1
catch coronavirus,41,0.00066,catch,1
follow coronavirus,40,0.00065,follow,1
be no coronavirus,40,0.00065,be,1
treat the coronavirus,39,0.00063,treat,1
report coronavirus,39,0.00063,report,1
develop a coronavirus,39,0.00063,develop,1
call the coronavirus,39,0.00063,call,1
confirm novel coronavirus,38,0.00061,confirm,1
combat coronavirus,37,0.0006,combat,1
escalate coronavirus,36,0.00058,escalate,1
infect by coronavirus,35,0.00057,infect,1
handle coronavirus,35,0.00057,handle,1
control the coronavirus,35,0.00057,control,1
stop the coronavirus,34,0.00055,stop,1
stop coronavirus,34,0.00055,stop,1
spread of coronavirus,34,0.00055,spread,1
worry about coronavirus,33,0.00053,worry,1
tackle the coronavirus,33,0.00053,tackle,1
discuss the coronavirus,33,0.00053,discuss,1
die of coronavirus,32,0.0005200000000000001,die,1
suffer from coronavirus,31,0.0005,suffer,1
get the coronavirus,31,0.0005,get,1
associate with coronavirus,30,0.00049,associate,1
respond to coronavirus,29,0.00047000000000000004,respond,1
call coronavirus,29,0.00047000000000000004,call,1
expose to coronavirus,28,0.00045,expose,1
link to coronavirus,26,0.00042,link,1
know about coronavirus,26,0.00042,know,1
diagnose coronavirus,26,0.00042,diagnose,1
suspect of coronavirus,25,0.0004,suspect,1
suspect coronavirus,25,0.0004,suspect,1
