Concordance,Frequency,Pmil,Verb,Count
have COVID-19,9719,0.15718,have,1
relate to COVID-19,8882,0.14364000000000002,relate,1
contract COVID-19,8015,0.12962,contract,1
fight COVID-19,8003,0.12943,fight,1
fight the coronavirus,7614,0.12314000000000001,fight,1
treat COVID-19,7515,0.12154000000000001,treat,1
confirm COVID-19,7066,0.11427000000000001,confirm,1
confirm coronavirus,6874,0.11117,confirm,1
die from COVID-19,6084,0.09838999999999999,die,1
test for COVID-19,5610,0.09072999999999999,test,1
have coronavirus,5367,0.0868,have,1
die of COVID-19,4986,0.08064,die,1
recover from COVID-19,4770,0.07714,recover,1
combat COVID-19,4770,0.07714,combat,1
fight coronavirus,4574,0.07397000000000001,fight,1
die from coronavirus,4564,0.07381,die,1
affect by COVID-19,4545,0.0735,affect,1
infect with COVID-19,4388,0.07096000000000001,infect,1
diagnose with COVID-19,4365,0.07059,diagnose,1
combat the coronavirus,4195,0.06784,combat,1
treat coronavirus,4120,0.06663,treat,1
die of coronavirus,4076,0.06592,die,1
contract the coronavirus,4062,0.06569,contract,1
impact by COVID-19,3722,0.06019,impact,1
cause by COVID-19,3672,0.059379999999999995,cause,1
be COVID-19,3582,0.057929999999999995,be,1
cause COVID-19,3325,0.053770000000000005,cause,1
contain the coronavirus,3088,0.04994,contain,1
contract coronavirus,3081,0.04983,contract,1
infect with coronavirus,2952,0.04774,infect,1
have the coronavirus,2894,0.0468,have,1
say the coronavirus,2846,0.04603,say,1
test for coronavirus,2824,0.04567,test,1
fight the COVID-19,2734,0.044219999999999995,fight,1
battle the coronavirus,2532,0.04095,battle,1
spread coronavirus,2292,0.03707,spread,1
battle COVID-19,2239,0.03621,battle,1
spread COVID-19,2176,0.03519,spread,1
recover from coronavirus,2172,0.03513,recover,1
respond to COVID-19,2170,0.035089999999999996,respond,1
deal with COVID-19,2069,0.033460000000000004,deal,1
combat coronavirus,2020,0.03267,combat,1
get COVID-19,1988,0.03215,get,1
contain COVID-19,1947,0.03149,contain,1
regard COVID-19,1940,0.03137,regard,1
say COVID-19,1933,0.03126,say,1
tackle the coronavirus,1924,0.03112,tackle,1
expose to COVID-19,1864,0.03015,expose,1
