Date,Case_global,Death_global,Mean,new_death_global,new_case_global
2020-01-31,9906,213,0.020452547384825666,213,9906
2020-02-29,85806,2935,0.020848294137344105,2722,75900
2020-03-31,769016,40885,0.013477956997917852,37950,683210
2020-04-30,3105579,224681,0.002554451674840544,183796,2336563
2020-05-31,5946272,367707,0.004246746793850274,143026,2840693
2020-06-30,10182385,502291,0.008541291501862766,134584,4236113
2020-07-31,17117101,665162,0.008745452296479316,162871,6934716
2020-08-31,25162019,846358,0.008663818249550419,181196,8044918
2020-09-30,33578623,1006967,0.01133260948904681,160609,8416604
2020-10-31,45533267,1188352,0.010677560996943463,181385,11954644
