"corpus","preloaded/eng_jsi_newsfeed_virt"
"subcorpus",""
"concordance size","63517"
"query","Query:[tag=""V.*""][]{0,1}[lemma=""coronavirus"" | lemma=""COVID-19""] within <doc (month=""2020-02"") />"
"confirm coronavirus",1640, 0.02652
"have coronavirus",1345, 0.02175
"infect with coronavirus",1121, 0.01813
"diagnose with coronavirus",1071, 0.01732
"spread coronavirus",1057, 0.01709
"say the coronavirus",985, 0.01593
"know as COVID-19",956, 0.01546
"test for coronavirus",924, 0.01494
"have the coronavirus",875, 0.01415
"contain the coronavirus",811, 0.01312
"contract the coronavirus",768, 0.01242
"fight the coronavirus",630, 0.01019
"contract coronavirus",571, 0.00923
"treat coronavirus",524, 0.00847
"be the coronavirus",496, 0.00802
"combat the coronavirus",487, 0.00788
"name COVID-19",468, 0.00757
"regard the coronavirus",447, 0.00723
"call COVID-19",443, 0.00716
"fight coronavirus",435, 0.00703
"surround the coronavirus",434, 0.00702
"follow the coronavirus",434, 0.00702
"be coronavirus",432, 0.00699
"say coronavirus",407, 0.00658
"affect by coronavirus",376, 0.00608
"infect with COVID-19",373, 0.00603
"die from coronavirus",364, 0.00589
"confirm COVID-19",354, 0.00573
"prevent coronavirus",342, 0.00553
"declare the coronavirus",325, 0.00526
"grow coronavirus",318, 0.00514
"have COVID-19",307, 0.00496
"relate to coronavirus",285, 0.00461
"die of coronavirus",281, 0.00454
"catch coronavirus",277, 0.00448
"combat coronavirus",275, 0.00445
"diagnose with COVID-19",268, 0.00433
"contain coronavirus",267, 0.00432
"catch the coronavirus",258, 0.00417
"have contract coronavirus",252, 0.00408
"expect the coronavirus",248, 0.00401
"monitor the coronavirus",247, 0.00399
"prevent the coronavirus",244, 0.00395
"report coronavirus",243, 0.00393
"test for COVID-19",239, 0.00387
"be a coronavirus",237, 0.00383
"prepare for coronavirus",230, 0.00372
"get coronavirus",228, 0.00369
"hit by coronavirus",224, 0.00362
"contract COVID-19",220, 0.00356
"deal with coronavirus",216, 0.00349
"regard coronavirus",215, 0.00348
