"corpus","preloaded/eng_jsi_newsfeed_virt"
"subcorpus",""
"concordance size","297673"
"query","Query:[tag=""V.*""][]{0,1}[lemma=""coronavirus"" | lemma=""COVID-19""] within <doc (month=""2020-07"") />"
"contract COVID-19",5358, 0.08665
"have COVID-19",5090, 0.08232
"relate to COVID-19",4871, 0.07878
"test for COVID-19",3792, 0.06133
"confirm COVID-19",3115, 0.05038
"recover from COVID-19",2992, 0.04839
"die from COVID-19",2885, 0.04666
"die of COVID-19",2828, 0.04574
"treat COVID-19",2754, 0.04454
"confirm coronavirus",2740, 0.04431
"cause by COVID-19",2351, 0.03802
"fight COVID-19",2313, 0.03741
"infect with COVID-19",2304, 0.03726
"be COVID-19",2286, 0.03697
"impact by COVID-19",2160, 0.03493
"cause COVID-19",2109, 0.03411
"affect by COVID-19",2098, 0.03393
"diagnose with COVID-19",2084, 0.03370
"contract the coronavirus",2060, 0.03332
"have coronavirus",1853, 0.02997
"get COVID-19",1718, 0.02778
"rise coronavirus",1651, 0.02670
"follow the coronavirus",1618, 0.02617
"say COVID-19",1592, 0.02575
"combat COVID-19",1502, 0.02429
"spread COVID-19",1500, 0.02426
"fight the coronavirus",1440, 0.02329
"rise COVID-19",1424, 0.02303
"say the coronavirus",1352, 0.02187
"test for coronavirus",1319, 0.02133
"contract coronavirus",1245, 0.02013
"expose to COVID-19",1213, 0.01962
"contain the coronavirus",1176, 0.01902
"hospitalize with COVID-19",1136, 0.01837
"associate with COVID-19",1126, 0.01821
"die from coronavirus",1109, 0.01794
"infect with coronavirus",1107, 0.01790
"prevent COVID-19",1092, 0.01766
"have the coronavirus",1066, 0.01724
"combat the coronavirus",1057, 0.01709
"follow COVID-19",1039, 0.01680
"have contract COVID-19",1036, 0.01675
"regard COVID-19",1025, 0.01658
"follow the COVID-19",1016, 0.01643
"die of coronavirus",994, 0.01608
"deal with COVID-19",981, 0.01587
"spread the coronavirus",965, 0.01561
"say the COVID-19",953, 0.01541
"catch COVID-19",917, 0.01483
"include COVID-19",898, 0.01452
"battle COVID-19",873, 0.01412
"contain COVID-19",855, 0.01383
"respond to COVID-19",825, 0.01334
"treat coronavirus",810, 0.01310
"spread coronavirus",807, 0.01305
"recover from coronavirus",787, 0.01273
"test COVID-19",733, 0.01185
"fight coronavirus",733, 0.01185
"report [number] COVID-19",730, 0.01181
"report COVID-19",725, 0.01172
"catch coronavirus",713, 0.01153
"handle the coronavirus",707, 0.01143
"fight the COVID-19",697, 0.01127
"get coronavirus",689, 0.01114
"be coronavirus",661, 0.01069
"increase COVID-19",659, 0.01066
"succumb to COVID-19",632, 0.01022
"be [number] COVID-19",609, 0.00985
"develop COVID-19",600, 0.00970
"diagnose with coronavirus",587, 0.00949
"say coronavirus",581, 0.00940
"be the coronavirus",581, 0.00940
"hit by COVID-19",570, 0.00922
"surround COVID-19",567, 0.00917
"pose by COVID-19",564, 0.00912
"battle the coronavirus",560, 0.00906
"address COVID-19",558, 0.00902
"relate to coronavirus",552, 0.00893
"recover COVID-19",552, 0.00893
"catch the coronavirus",547, 0.00885
"take COVID-19",538, 0.00870
"cause by coronavirus",538, 0.00870
"combat the COVID-19",524, 0.00847
"report coronavirus",517, 0.00836
"report [number] coronavirus",510, 0.00825
"attribute to COVID-19",503, 0.00813
"undergo COVID-19",500, 0.00809
"get the coronavirus",497, 0.00804
"provide COVID-19",494, 0.00799
"surge coronavirus",473, 0.00765
"hospitalize COVID-19",469, 0.00758
"prevent coronavirus",467, 0.00755
"be a COVID-19",467, 0.00755
"link to COVID-19",459, 0.00742
"address the COVID-19",457, 0.00739
"have [number] COVID-19",455, 0.00736
"tackle the coronavirus",452, 0.00731
"tackle COVID-19",449, 0.00726
"have a COVID-19",447, 0.00723
"keep COVID-19",446, 0.00721
"handle COVID-19",431, 0.00697
"contain the COVID-19",431, 0.00697
"say that COVID-19",428, 0.00692
"manage COVID-19",428, 0.00692
"survive COVID-19",424, 0.00686
"record [number] COVID-19",419, 0.00678
"get a COVID-19",419, 0.00678
"affect by coronavirus",416, 0.00673
"surround the coronavirus",407, 0.00658
"follow coronavirus",407, 0.00658
"use COVID-19",404, 0.00653
"develop a COVID-19",399, 0.00645
"take a COVID-19",398, 0.00644
"create by COVID-19",393, 0.00636
"hospitalize for COVID-19",392, 0.00634
"combat coronavirus",392, 0.00634
"see COVID-19",389, 0.00629
"detect COVID-19",381, 0.00616
"regard the coronavirus",380, 0.00615
"use the coronavirus",377, 0.00610
"control the coronavirus",367, 0.00594
"conduct COVID-19",366, 0.00592
"increase coronavirus",364, 0.00589
"control COVID-19",363, 0.00587
"give the COVID-19",357, 0.00577
"result from COVID-19",356, 0.00576
"transmit COVID-19",354, 0.00573
"suffer from COVID-19",354, 0.00573
"reduce COVID-19",354, 0.00573
"battle coronavirus",354, 0.00573
"experience COVID-19",351, 0.00568
"come to COVID-19",351, 0.00568
"be a coronavirus",349, 0.00564
"handle the COVID-19",348, 0.00563
"show COVID-19",340, 0.00550
"be the COVID-19",340, 0.00550
"survive the coronavirus",339, 0.00548
"have have COVID-19",337, 0.00545
"take the coronavirus",335, 0.00542
"deal with coronavirus",333, 0.00539
"treat for COVID-19",331, 0.00535
"have contract coronavirus",331, 0.00535
"make COVID-19",326, 0.00527
"manage the COVID-19",317, 0.00513
"comply with COVID-19",317, 0.00513
"worsen coronavirus",313, 0.00506
"develop a coronavirus",312, 0.00505
"surround the COVID-19",310, 0.00501
"regard the COVID-19",310, 0.00501
"contain coronavirus",310, 0.00501
"address the coronavirus",302, 0.00488
"expose to coronavirus",301, 0.00487
"protect against COVID-19",295, 0.00477
"infect by COVID-19",295, 0.00477
"support COVID-19",286, 0.00463
"beat COVID-19",286, 0.00463
"cure COVID-19",285, 0.00461
"record [number] coronavirus",283, 0.00458
"declare COVID-19",281, 0.00454
"stop COVID-19",280, 0.00453
"use the COVID-19",276, 0.00446
"present by COVID-19",275, 0.00445
"give the coronavirus",274, 0.00443
"tackle the COVID-19",273, 0.00442
"hit by coronavirus",273, 0.00442
"bring COVID-19",273, 0.00442
"be [number] coronavirus",273, 0.00442
