"corpus","preloaded/eng_jsi_newsfeed_curmonth"
"subcorpus",""
"concordance size","225205"
"query","Query:[tag=""V.*""][]{0,1}[lemma=""coronavirus"" | lemma=""COVID-19""]"
"contract COVID-19",5147, 4.48678
"have COVID-19",4297, 3.74581
"relate to COVID-19",3243, 2.82701
"test for COVID-19",2454, 2.13922
"die from COVID-19",2283, 1.99015
"recover from COVID-19",2195, 1.91344
"diagnose with COVID-19",2139, 1.86462
"contract the coronavirus",2097, 1.82801
"confirm COVID-19",1956, 1.70510
"infect with COVID-19",1857, 1.61880
"die of COVID-19",1779, 1.55080
"cause COVID-19",1692, 1.47496
"cause by COVID-19",1690, 1.47322
"treat COVID-19",1569, 1.36774
"have coronavirus",1557, 1.35728
"impact by COVID-19",1550, 1.35118
"get COVID-19",1544, 1.34595
"affect by COVID-19",1508, 1.31456
"be COVID-19",1493, 1.30149
"confirm coronavirus",1458, 1.27098
"fight COVID-19",1387, 1.20909
"say COVID-19",1358, 1.18381
"hospitalize with COVID-19",1357, 1.18293
"follow COVID-19",1351, 1.17770
"rise coronavirus",1309, 1.14109
"contract coronavirus",1248, 1.08792
"rise COVID-19",1243, 1.08356
"have contract COVID-19",1181, 1.02951
"expose to COVID-19",1086, 0.94670
"spread COVID-19",1067, 0.93013
"combat COVID-19",909, 0.79240
"catch COVID-19",878, 0.76538
"prevent COVID-19",853, 0.74358
"include COVID-19",847, 0.73835
"say the coronavirus",843, 0.73487
"have the coronavirus",815, 0.71046
"fight the coronavirus",812, 0.70784
"associate with COVID-19",807, 0.70348
"deal with COVID-19",803, 0.70000
"say the COVID-19",797, 0.69477
"test for coronavirus",754, 0.65728
"regard COVID-19",744, 0.64856
"follow the COVID-19",714, 0.62241
"infect with coronavirus",699, 0.60934
"hospitalize COVID-19",682, 0.59452
"die from coronavirus",676, 0.58929
"battle COVID-19",660, 0.57534
"combat the coronavirus",656, 0.57185
"contain the coronavirus",638, 0.55616
"catch coronavirus",614, 0.53524
"handle the coronavirus",606, 0.52827
"report COVID-19",594, 0.51781
"recover from coronavirus",583, 0.50822
"contain COVID-19",578, 0.50386
"spread the coronavirus",576, 0.50211
"increase COVID-19",573, 0.49950
"follow the coronavirus",572, 0.49863
"diagnose with coronavirus",570, 0.49688
"report [number] COVID-19",558, 0.48642
"take COVID-19",545, 0.47509
"get coronavirus",537, 0.46812
"respond to COVID-19",512, 0.44632
"be [number] COVID-19",504, 0.43935
"treat for COVID-19",497, 0.43325
"catch the coronavirus",482, 0.42017
"die of coronavirus",477, 0.41581
"get a COVID-19",476, 0.41494
"be the coronavirus",468, 0.40797
"take a COVID-19",467, 0.40710
"have a COVID-19",463, 0.40361
"develop COVID-19",459, 0.40012
"say . COVID-19",452, 0.39402
"spread coronavirus",450, 0.39228
"hospitalize for COVID-19",449, 0.39141
"treat coronavirus",422, 0.36787
"address COVID-19",411, 0.35828
"violate COVID-19",409, 0.35654
"pose by COVID-19",405, 0.35305
"keep COVID-19",405, 0.35305
"fight the COVID-19",405, 0.35305
"provide COVID-19",404, 0.35218
"be a COVID-19",399, 0.34782
